,card,link,mana,n
0,"Liesa, Forgotten Archangel",price/Innistrad+Midnight+Hunt/Liesa+Forgotten+Archangel-showcase#paper, 2 white white black,1
1,Kami of False Hope,price/Betrayers+of+Kamigawa/Kami+of+False+Hope#paper, white,1
2,Mother of Runes,price/Urzas+Legacy/Mother+of+Runes#paper, white,1
3,Serra Ascendant,price/The+List/Serra+Ascendant#paper, white,1
4,Weathered Wayfarer,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Weathered+Wayfarer#paper, white,1
5,Cathar Commando,price/Innistrad+Midnight+Hunt/Cathar+Commando#paper, 1 white,1
6,Dauthi Voidwalker,price/Modern+Horizons+2/Dauthi+Voidwalker#paper, black black,1
7,Priest of Fell Rites,price/Modern+Horizons+2/Priest+of+Fell+Rites-showcase#paper, white black,1
8,Selfless Spirit,price/Jumpstart+2022/Selfless+Spirit#paper, 1 white,1
9,Burnished Hart,price/Commander+Legends+Battle+for+Baldurs+Gate/Burnished+Hart#paper, 3,1
10,Callous Bloodmage,price/Strixhaven+School+of+Mages/Callous+Bloodmage#paper, 2 black,1
11,Fell Stinger,price/Innistrad+Crimson+Vow/Fell+Stinger#paper, 2 black,1
12,Ranger-Captain of Eos,price/The+List/Ranger-Captain+of+Eos#paper, 1 white white,1
13,Skyclave Apparition,price/Zendikar+Rising/Skyclave+Apparition#paper, 1 white white,1
14,Dimir House Guard,price/Ravnica+Remastered/Dimir+House+Guard#paper, 3 black,1
15,Eradicator Valkyrie,price/Kaldheim/Eradicator+Valkyrie-planeswalker+stamp#paper, 2 black black,1
16,"Erebos, Bleak-Hearted",price/Commander+Masters/Erebos+Bleak-Hearted#paper, 3 black,1
17,"Gisela, the Broken Blade",price/Eldritch+Moon/Gisela+the+Broken+Blade#paper, 2 white white,1
18,Prowling Geistcatcher,price/Innistrad+Midnight+Hunt+Commander/Prowling+Geistcatcher#paper, 3 black,1
19,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
20,"Yawgmoth, Thran Physician",price/Dominaria+Remastered/Yawgmoth+Thran+Physician-borderless#paper, 2 black black,1
21,"Firja, Judge of Valor",price/Multiverse+Legends/Firja+Judge+of+Valor#paper, 2 white black black,1
22,Karmic Guide,price/Modern+Horizons+2/Karmic+Guide#paper, 3 white white,1
23,Reverent Hoplite,price/Theros+Beyond+Death/Reverent+Hoplite#paper, 4 white,1
24,Shriekmaw,price/Ravnica+Murders+at+Karlov+Manor+Commander/Shriekmaw#paper, 4 black,1
25,"Athreos, Shroud-Veiled",price/Theros+Beyond+Death:Foil/Athreos+Shroud-Veiled-buy-a-box#paper, 4 white black,1
26,Patron of the Vein,price/Lost+Caverns+of+Ixalan+Commander/Patron+of+the+Vein#paper, 4 black black,1
27,Sun Titan,price/Outlaws+of+Thunder+Junction+Commander/Sun+Titan#paper, 4 white white,1
28,Angel of Despair,price/Ravnica+Allegiance+Guild+Kits/Angel+of+Despair#paper, 3 white white black black,1
29,Angel of the Ruins,price/Outlaws+of+Thunder+Junction+Commander/Angel+of+the+Ruins#paper, 5 white white,1
30,"Bruna, the Fading Light",price/Eldritch+Moon/Bruna+the+Fading+Light#paper, 5 white white,1
31,Emeria Shepherd,price/Battle+for+Zendikar/Emeria+Shepherd#paper, 5 white white,1
32,Archon of Cruelty,price/Modern+Horizons+2/Archon+of+Cruelty#paper, 6 black black,1
33,Ashen Rider,price/Adventures+in+the+Forgotten+Realms+Commander/Ashen+Rider#paper, 4 white white black black,1
34,Kaya the Inexorable,price/Kaldheim/Kaya+the+Inexorable-borderless#paper, 3 white black,1
35,Ephemerate,price/Modern+Horizons/Ephemerate#paper, white,1
36,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
37,Brought Back,price/Core+Set+2020/Brought+Back#paper, white white,1
38,Damn,price/Lost+Caverns+of+Ixalan+Commander/Damn#paper, black black,1
39,Demonic Tutor,price/Mystery+Booster/Demonic+Tutor#paper, 1 black,1
40,Plumb the Forbidden,price/Strixhaven+School+of+Mages/Plumb+the+Forbidden#paper, 1 black,1
41,Sejiri Shelter,price/Zendikar+Rising/Sejiri+Shelter#paper, 1 white,1
42,Generous Gift,price/Wilds+of+Eldraine+Commander/Generous+Gift#paper, 2 white,1
43,Pointed Discussion,price/Innistrad+Crimson+Vow/Pointed+Discussion#paper, 2 black,1
44,Vindicate,price/The+Brothers+War+Commander/Vindicate-retro#paper, 1 white black,1
45,Akroma's Will,price/Commander+Legends/Akromas+Will#paper, 3 white,1
46,By Invitation Only,price/Innistrad+Crimson+Vow/By+Invitation+Only#paper, 3 white white,1
47,Final Parting,price/Commander+Masters/Final+Parting#paper, 3 black black,1
48,Living Death,price/Warhammer+40K+Commander+Decks/Living+Death#paper, 3 black black,1
49,Stinging Study,price/Commander+2021/Stinging+Study#paper, 4 black,1
50,Ondu Inversion,price/Zendikar+Rising/Ondu+Inversion#paper, 6 white white,1
51,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
52,Altar of Dementia,price/The+Brothers+War+Retro+Frame+Artifacts/Altar+of+Dementia-retro#paper, 2,1
53,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
54,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
55,Mask of Memory,price/Commander+Legends/Mask+of+Memory#paper, 2,1
56,Mind Stone,price/Fallout/Mind+Stone#paper, 2,1
57,Sword of the Animist,price/Mystery+Booster/Sword+of+the+Animist#paper, 2,1
58,Talisman of Hierarchy,price/Fallout/Talisman+of+Hierarchy#paper, 2,1
59,Archaeomancer's Map,price/The+List/Archaeomancers+Map#paper, 2 white,1
60,Chromatic Lantern,price/Outlaws+of+Thunder+Junction+Commander/Chromatic+Lantern#paper, 3,1
61,Animate Dead,price/Ravnica+Murders+at+Karlov+Manor+Commander/Animate+Dead#paper, 1 black,1
62,Fanatical Devotion,price/Nemesis/Fanatical+Devotion#paper, 2 white,1
63,Necromancy,price/Ravnica+Murders+at+Karlov+Manor+Commander/Necromancy#paper, 2 black,1
64,Teleportation Circle,price/Adventures+in+the+Forgotten+Realms/Teleportation+Circle#paper, 3 white,1
65,Whip of Erebos,price/Theros/Whip+of+Erebos#paper, 2 black black,1
66,True Conviction,price/Starter+Commander/True+Conviction#paper, 3 white white white,1
67,Bojuka Bog,price/Outlaws+of+Thunder+Junction+Commander/Bojuka+Bog#paper,,1
68,Cabal Coffers,price/Modern+Horizons+2/Cabal+Coffers#paper,,1
69,Caves of Koilos,price/Outlaws+of+Thunder+Junction+Commander/Caves+of+Koilos#paper,,1
70,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
71,"Emeria, the Sky Ruin",price/Commander+2014/Emeria+the+Sky+Ruin#paper,,1
72,Field of the Dead,price/Core+Set+2020/Field+of+the+Dead#paper,,1
73,Geier Reach Sanitarium,price/Lost+Caverns+of+Ixalan+Commander/Geier+Reach+Sanitarium#paper,,1
74,Godless Shrine,price/Ravnica+Allegiance/Godless+Shrine#paper,,1
75,Great Hall of Starnheim,price/Kaldheim/Great+Hall+of+Starnheim#paper,,1
76,High Market,price/Commander+2021/High+Market#paper,,1
77,Marsh Flats,price/Modern+Horizons+2/Marsh+Flats#paper,,1
78,"Nykthos, Shrine to Nyx",price/The+List/Nykthos+Shrine+to+Nyx#paper,,1
79,Phyrexian Tower,price/Jumpstart/Phyrexian+Tower#paper,,1
80,Plains,price/Theros+Beyond+Death/Plains-250#paper,,5
81,Prismatic Vista,price/Modern+Horizons/Prismatic+Vista#paper,,1
82,Snow-Covered Plains,price/Kaldheim/Snow-Covered+Plains-276#paper,,2
83,Snow-Covered Swamp,price/Kaldheim/Snow-Covered+Swamp-280#paper,,2
84,Snowfield Sinkhole,price/Kaldheim/Snowfield+Sinkhole#paper,,1
85,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,4
86,"Urborg, Tomb of Yawgmoth",price/Time+Spiral+Remastered/Urborg+Tomb+of+Yawgmoth#paper,,1
87,Vault of Champions,price/Commander+Masters/Vault+of+Champions-borderless#paper,,1
88,Verdant Catacombs,price/Modern+Horizons+2/Verdant+Catacombs#paper,,1
89,Westvale Abbey,price/Shadows+over+Innistrad/Westvale+Abbey#paper,,1
90,Windswept Heath,price/Modern+Horizons+3/Windswept+Heath#paper,,1
